1.000000, -9504.040404, 0.435691, 0.000000
1.100000, -9446.472727, 0.576773, 0.000000
1.200000, -9402.836364, 0.719741, 0.000000
1.300000, -9346.731313, 0.603356, 0.000000
1.400000, -9246.367677, 0.721333, 0.000000
1.500000, -9150.319192, 0.911697, 0.000000
1.600000, -9011.232323, 1.228933, 0.000000
1.700000, -8812.307071, 1.404184, 0.000000
1.800000, -8625.252525, 1.865511, 0.000000
1.900000, -8383.135354, 2.199738, 0.000000
2.000000, -8027.402020, 2.819129, 0.000000
2.100000, -7543.652525, 3.841197, 0.000000
2.200000, -7086.125253, 4.479966, 0.000000
2.300000, -6530.400000, 5.332235, 0.000000
2.400000, -5996.759596, 3.902781, 0.000000
2.500000, -5505.664646, 3.198691, 0.000000
2.600000, -5103.337374, 2.580225, 0.000000
2.700000, -4796.032323, 2.267757, 0.000000
2.800000, -4524.711111, 1.945963, 0.000000
2.900000, -4284.105051, 1.680597, 0.000000
