1.000000, -9985.349495, 0.100042, 0.000000, 2498.133333, 0.001683, 0.000000
1.100000, -9970.698990, 0.158556, 0.000000, 2496.224242, 0.003001, 0.000000
1.200000, -9941.955556, 0.270552, 0.000000, 2492.456566, 0.005781, 0.000000
1.300000, -9899.426263, 0.428157, 0.000000, 2486.696970, 0.010911, 0.000000
1.400000, -9839.822222, 0.617275, 0.000000, 2478.387879, 0.017853, 0.000000
1.500000, -9756.517172, 0.744881, 0.000000, 2466.535354, 0.025598, 0.000000
1.600000, -9642.690909, 1.082192, 0.000000, 2449.369697, 0.045650, 0.000000
1.700000, -9489.600000, 1.414155, 0.000000, 2424.822222, 0.072915, 0.000000
1.800000, -9291.369697, 1.891918, 0.000000, 2391.171717, 0.121394, 0.000000
1.900000, -9055.208081, 2.481022, 0.000000, 2346.911111, 0.206651, 0.000000
2.000000, -8730.068687, 3.003189, 0.000000, 2278.505051, 0.394627, 0.000000
2.100000, -8332.339394, 3.715355, 0.000000, 2181.672727, 0.759020, 0.000000
2.200000, -7682.424242, 6.460186, 0.000000, 1921.101010, 7.224293, 0.000000
2.300000, -6835.135354, 9.445393, 0.000000, 1246.931313, 54.773047, 0.000000
2.400000, -6042.569697, 5.017651, 0.000000, 449.278788, 20.808325, 0.000000
2.500000, -5527.337374, 3.464427, 0.000000, 324.410101, 8.282157, 0.000000
2.600000, -5143.014141, 2.899409, 0.000000, 258.551515, 5.774584, 0.000000
2.700000, -4818.674747, 2.473402, 0.000000, 202.721212, 3.361233, 0.000000
2.800000, -4540.088889, 2.086153, 0.000000, 159.925253, 1.998057, 0.000000
2.900000, -4298.303030, 1.749003, 0.000000, 143.254545, 1.662086, 0.000000
